name	support	dist	leaves	sample1_sum	sample1_min	sample1_max	sample1_mean	sample1_variance	sample2_sum	sample2_min	sample2_max	sample2_mean	sample2_variance	sample3_sum	sample3_min	sample3_max	sample3_mean	sample3_variance	sample4_sum	sample4_min	sample4_max	sample4_mean	sample4_variance	sample5_sum	sample5_min	sample5_max	sample5_mean	sample5_variance	random_type_counter	taxid	sci_name	common_name	lineage	rank	named_lineage	nleaves	sample1	sample2	sample3	sample4	sample5	random_type
f__Gearchaeaceae	1.0	1.0	9	3.93	0.08	0.98	0.4366666666666667		3.91	0.05	0.86	0.43444444444444447		4.61	0.24	0.88	0.5122222222222222		3.68	0.03	0.8	0.4088888888888889		4.21	0.04	0.85	0.4677777777777778		high--4||medium--3||low--2	f__Gearchaeaceae	f__Gearchaeaceae		1;2;79;80;1029;1030	family	root;d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Gearchaeales;f__Gearchaeaceae	9						
f__Marsarchaeaceae	1.0	1.0	11	6.420000000000001	0.2	0.95	0.5836363636363637		5.670000000000001	0.16	0.82	0.5154545454545455		5.250000000000001	0.04	0.95	0.47727272727272735		6.93	0.11	1.0	0.63		4.38	0.05	0.9	0.3981818181818182		low--2||high--5||medium--4	f__Marsarchaeaceae	f__Marsarchaeaceae		1;2;79;80;1176;1177	family	root;d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Marsarchaeales;f__Marsarchaeaceae	11						
g__UBA168	1.0	1.0	2	1.19	0.56	0.63	0.595		0.95	0.29	0.66	0.475		1.05	0.31	0.74	0.525		0.89	0.17	0.72	0.445		1.62	0.67	0.95	0.81		medium--1||low--1	g__UBA168	g__UBA168		1;2;79;80;1176;5654;5655	genus	root;d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Marsarchaeales;f__UBA168;g__UBA168	2						
f__Thermoproteaceae	1.0	1.0	24	13.0	0.02	0.98	0.5416666666666666		13.65	0.01	0.99	0.56875		11.35	0.01	0.98	0.47291666666666665		11.8	0.01	0.99	0.4916666666666667		13.42	0.04	1.0	0.5591666666666667		low--10||medium--5||high--9	f__Thermoproteaceae	f__Thermoproteaceae		1;2;79;80;1312;1313	family	root;d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermoproteaceae	24						
f__Thermocladiaceae	1.0	1.0	31	16.5	0.01	0.99	0.532258064516129		15.589999999999998	0.05	0.99	0.5029032258064515		14.109999999999998	0.02	0.95	0.45516129032258057		16.060000000000002	0.02	1.0	0.5180645161290324		16.93	0.01	0.97	0.5461290322580645		high--9||medium--11||low--11	f__Thermocladiaceae	f__Thermocladiaceae		1;2;79;80;1312;2006	family	root;d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermocladiaceae	31						
GB_GCA_003649205.1	1.0	1.0	1	0.02	0.02	0.02	0.02		0.12	0.12	0.12	0.12		0.53	0.53	0.53	0.53		0.8	0.8	0.8	0.8		0.14	0.14	0.14	0.14		low--1	GB_GCA_003649205.1	GB_GCA_003649205.1		1;2;79;80;1312;5309;5310;5311;5312	subspecies	root;d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__B15-G16;g__B15-G16;s__B15-G16 sp003649205;GB_GCA_003649205.1	1						
f__Thermofilaceae	1.0	1.0	20	10.35	0.09	0.93	0.5175		11.930000000000001	0.01	0.95	0.5965		10.140000000000002	0.0	0.96	0.5070000000000001		9.750000000000002	0.01	0.94	0.4875000000000001		9.790000000000001	0.01	0.94	0.48950000000000005		high--7||low--8||medium--5	f__Thermofilaceae	f__Thermofilaceae		1;2;79;80;1702;1703	family	root;d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__Thermofilaceae	20						
s__B9-G17 sp003649225	1.0	1.0	2	1.04	0.12	0.92	0.52		0.75	0.24	0.51	0.375		0.93	0.13	0.8	0.465		0.19	0.04	0.15	0.095		1.44	0.48	0.96	0.72		high--2	s__B9-G17 sp003649225	s__B9-G17 sp003649225		1;2;79;80;1702;3789;3790;3791	species	root;d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__B9-G17;g__B9-G17;s__B9-G17 sp003649225	2						
g__B15-G2	1.0	1.0	3	2.35	0.63	0.89	0.7833333333333333		2.3	0.67	0.93	0.7666666666666666		1.13	0.04	0.59	0.37666666666666665		2.09	0.42	0.92	0.6966666666666667		1.8200000000000003	0.28	0.88	0.6066666666666668		high--1||medium--1||low--1	g__B15-G2	g__B15-G2		1;2;79;80;1702;3848;3849	genus	root;d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__B15-G2;g__B15-G2	3						
f__B20-G17	1.0	1.0	4	2.63	0.4	0.87	0.6575		2.72	0.45	0.92	0.68		2.08	0.15	0.86	0.52		2.13	0.21	0.79	0.5325		1.9300000000000002	0.05	0.86	0.48250000000000004		low--3||high--1	f__B20-G17	f__B20-G17		1;2;79;80;1702;4055	family	root;d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__B20-G17	4						
GB_GCA_002254595.1	1.0	1.0	1	0.47	0.47	0.47	0.47		0.3	0.3	0.3	0.3		0.61	0.61	0.61	0.61		0.48	0.48	0.48	0.48		0.96	0.96	0.96	0.96		medium--1	GB_GCA_002254595.1	GB_GCA_002254595.1		1;2;79;80;1702;7044;7045;7046;7047	subspecies	root;d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__EX4484-15;g__EX4484-15;s__EX4484-15 sp002254595;GB_GCA_002254595.1	1						
GB_GCA_003649235.1	1.0	1.0	1	0.81	0.81	0.81	0.81		0.89	0.89	0.89	0.89		0.52	0.52	0.52	0.52		0.09	0.09	0.09	0.09		0.04	0.04	0.04	0.04		high--1	GB_GCA_003649235.1	GB_GCA_003649235.1		1;2;79;80;1702;7358;7359;7360;7361	subspecies	root;d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__B69-G16;g__B69-G16;s__B69-G16 sp003649235;GB_GCA_003649235.1	1						
f__QMSL01	1.0	1.0	4	3.25	0.73	0.9	0.8125		1.3900000000000001	0.1	0.79	0.34750000000000003		1.8699999999999999	0.16	0.99	0.46749999999999997		2.44	0.56	0.74	0.61		2.5700000000000003	0.39	0.97	0.6425000000000001		high--3||low--1	f__QMSL01	f__QMSL01		1;2;79;80;3109;3110	family	root;d__Archaea;p__Thermoproteota;c__Thermoproteia;o__QMSL01;f__QMSL01	4						
f__EX4484-217-1	1.0	1.0	2	1.17	0.45	0.72	0.585		1.1	0.31	0.79	0.55		0.49	0.17	0.32	0.245		1.1099999999999999	0.14	0.97	0.5549999999999999		1.32	0.45	0.87	0.66		medium--2	f__EX4484-217-1	f__EX4484-217-1		1;2;79;80;6287;6288	family	root;d__Archaea;p__Thermoproteota;c__Thermoproteia;o__EX4484-217-1;f__EX4484-217-1	2						
f__Nitrosopumilaceae	1.0	1.0	219	108.85000000000001	0.01	1.0	0.4970319634703197		108.28	0.0	1.0	0.49442922374429227		115.94999999999999	0.01	1.0	0.5294520547945205		111.86	0.0	1.0	0.5107762557077625		108.14000000000001	0.0	0.99	0.49378995433789963		low--71||high--81||medium--67	f__Nitrosopumilaceae	f__Nitrosopumilaceae		1;2;79;549;550;551	family	root;d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae	219						
f__Nitrososphaeraceae	1.0	1.0	49	22.7	0.0	0.96	0.463265306122449		24.59	0.0	0.99	0.5018367346938776		22.46	0.01	0.98	0.4583673469387755		24.680000000000003	0.04	0.98	0.5036734693877551		26.519999999999996	0.02	1.0	0.5412244897959183		high--18||medium--12||low--19	f__Nitrososphaeraceae	f__Nitrososphaeraceae		1;2;79;549;550;918	family	root;d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae	49						
