FeatureID	fraction_uncultivated_cultivated	abundance	Taxon
o__Methanopyrales	0	4.5	d__Archaea; p__Methanobacteriota; c__Methanopyri; o__Methanopyrales
o__Thermococcales	0.1276595744680851	8.733333333333333	d__Archaea; p__Methanobacteriota; c__Thermococci; o__Thermococcales
o__Methanofastidiosales	0.875	49.888888888888886	d__Archaea; p__Methanobacteriota; c__Thermococci; o__Methanofastidiosales
o__Hadarchaeales	1	62.1	d__Archaea; p__Hadarchaeota; c__Hadarchaeia; o__Hadarchaeales
o__Hydrothermarchaeales	1	70.77777777777777	d__Archaea; p__Hydrothermarchaeota; c__Hydrothermarchaeia; o__Hydrothermarchaeales
o__Nitrososphaerales	0.7	33.43889384478145	d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales
o__Conexivisphaerales	1	81.96774193548387	d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Conexivisphaerales
o__Geothermarchaeales	1	51.266666666666666	d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Geothermarchaeales
o__Caldarchaeales	1	56.2	d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Caldarchaeales
o__EX4484-205	1	60.0	d__Archaea; p__Thermoproteota; c__EX4484-205; o__EX4484-205
o__B26-1	0.9459459459459459	81.825	d__Archaea; p__Thermoproteota; c__Bathyarchaeia; o__B26-1
o__EX4484-135	1	40.8	d__Archaea; p__Thermoproteota; c__Bathyarchaeia; o__EX4484-135
o__TCS64	0.875	34.78947368421053	d__Archaea; p__Thermoproteota; c__Bathyarchaeia; o__TCS64
o__40CM-2-53-6	1	170.375	d__Archaea; p__Thermoproteota; c__Bathyarchaeia; o__40CM-2-53-6
o__B25	1	52.42857142857143	d__Archaea; p__Thermoproteota; c__Bathyarchaeia; o__B25
o__B24	1	71.54545454545455	d__Archaea; p__Thermoproteota; c__Bathyarchaeia; o__B24
o__Sulfolobales	0.3333333333333333	37.611111111111114	d__Archaea; p__Thermoproteota; c__Thermoproteia; o__Sulfolobales
o__EX4484-217-1	1	35.0	d__Archaea; p__Thermoproteota; c__Thermoproteia; o__EX4484-217-1
o__Marsarchaeales	1	83.22727272727273	d__Archaea; p__Thermoproteota; c__Thermoproteia; o__Marsarchaeales
o__Gearchaeales	1	29.375	d__Archaea; p__Thermoproteota; c__Thermoproteia; o__Gearchaeales
o__Thermoproteales	0.29411764705882354	9.282051282051283	d__Archaea; p__Thermoproteota; c__Thermoproteia; o__Thermoproteales
o__Thermofilales	0.7692307692307693	77.6078431372549	d__Archaea; p__Thermoproteota; c__Thermoproteia; o__Thermofilales
o__QMSL01	1	82.83333333333333	d__Archaea; p__Thermoproteota; c__Thermoproteia; o__QMSL01
o__Methanomethylicales	1	65.32432432432432	d__Archaea; p__Thermoproteota; c__Methanomethylicia; o__Methanomethylicales
o__Nezhaarchaeales	1	70.42857142857143	d__Archaea; p__Thermoproteota; c__Methanomethylicia; o__Nezhaarchaeales
o__B29-G17	1	74.13636363636364	d__Archaea; p__Thermoproteota; c__Methanomethylicia; o__B29-G17
o__Korarchaeales	0.6666666666666666	27.0	d__Archaea; p__Thermoproteota; c__Korarchaeia; o__Korarchaeales
o__CR-4	1	319.0	d__Archaea; p__Asgardarchaeota; c__Lokiarchaeia; o__CR-4
o__Helarchaeales	1	92.5	d__Archaea; p__Asgardarchaeota; c__Lokiarchaeia; o__Helarchaeales
o__Thorarchaeales	1	375.4375	d__Archaea; p__Asgardarchaeota; c__Thorarchaeia; o__Thorarchaeales
o__DTBI01	1	97.4	d__Archaea; p__Asgardarchaeota; c__DTBI01; o__DTBI01
o__UBA460	1	52.5	d__Archaea; p__Asgardarchaeota; c__Heimdallarchaeia; o__UBA460
o__LC-2	1	20.8	d__Archaea; p__Asgardarchaeota; c__Heimdallarchaeia; o__LC-2
o__LC-3	1	59.5	d__Archaea; p__Asgardarchaeota; c__Heimdallarchaeia; o__LC-3
o__IMC4	1	47.964285714285715	d__Archaea; p__Altarchaeota; c__Altarchaeia; o__IMC4
o__Altarchaeales	1	57.0	d__Archaea; p__Altarchaeota; c__Altarchaeia; o__Altarchaeales
o__UBA10214	0.6666666666666666	68.05263157894737	d__Archaea; p__Micrarchaeota; c__Micrarchaeia; o__UBA10214
o__DTNL01	1	36.666666666666664	d__Archaea; p__Micrarchaeota; c__Micrarchaeia; o__DTNL01
o__B9-G16	1	21.0	d__Archaea; p__Micrarchaeota; c__Micrarchaeia; o__B9-G16
o__CABMEP01	1	10.0	d__Archaea; p__Micrarchaeota; c__Micrarchaeia; o__CABMEP01
o__CAILAH01	1	14.5	d__Archaea; p__Micrarchaeota; c__Micrarchaeia; o__CAILAH01
o__Micrarchaeales	0.5	21.11111111111111	d__Archaea; p__Micrarchaeota; c__Micrarchaeia; o__Micrarchaeales
o__UBA8480	0.8571428571428571	78.7	d__Archaea; p__Micrarchaeota; c__Micrarchaeia; o__UBA8480
o__Iainarchaeales	0.75	57.03125	d__Archaea; p__Iainarchaeota; c__Iainarchaeia; o__Iainarchaeales
o__0-14-0-20-30-16	1	80.07142857142857	d__Archaea; p__Iainarchaeota; c__Iainarchaeia; o__0-14-0-20-30-16
o__JAADDC01	1	5.0	d__Archaea; p__Iainarchaeota; c__Iainarchaeia; o__JAADDC01
o__B1Sed10-29	1	62.44444444444444	d__Archaea; p__Iainarchaeota; c__Iainarchaeia; o__B1Sed10-29
o__Undinarchaeales	1	91.53846153846153	d__Archaea; p__Undinarchaeota; c__Undinarchaeia; o__Undinarchaeales
o__Woesearchaeales	0.803030303030303	69.88942307692308	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales
o__Pacearchaeales	0.9459459459459459	76.88461538461539	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Pacearchaeales
o__SCGC-AAA011-G17	0.8571428571428571	59.206896551724135	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__SCGC-AAA011-G17
o__UBA583	1	39.666666666666664	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__UBA583
o__UBA10117	0.6666666666666666	64.45833333333333	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__UBA10117
o__Nanoarchaeales	0.6	4.0	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Nanoarchaeales
o__CSSed11-243R1	1	35.0	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__CSSed11-243R1
o__Parvarchaeales	1	14.5	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Parvarchaeales
o__CG07-land	1	24.5	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__CG07-land
o__Nanosalinales	1	131.46666666666667	d__Archaea; p__Nanohaloarchaeota; c__Nanosalinia; o__Nanosalinales
o__EX4484-52	1	45.625	d__Archaea; p__EX4484-52; c__EX4484-52; o__EX4484-52
o__PWEA01	1	110.66666666666667	d__Archaea; p__PWEA01; c__PWEA01; o__PWEA01
o__CG10238-14	1	58.92307692307692	d__Archaea; p__Aenigmatarchaeota; c__Aenigmatarchaeia; o__CG10238-14
o__QMZP01	1	90.10526315789474	d__Archaea; p__Aenigmatarchaeota; c__Aenigmatarchaeia; o__QMZP01
o__Aenigmatarchaeales	1	18.0	d__Archaea; p__Aenigmatarchaeota; c__Aenigmatarchaeia; o__Aenigmatarchaeales
o__GW2011-AR5	0.6666666666666666	38.0	d__Archaea; p__Aenigmatarchaeota_A; c__Aenigmatarchaeia_A; o__GW2011-AR5
o__QMZS01	1	27.5	d__Archaea; p__QMZS01; c__QMZS01; o__QMZS01
o__Pseudomonadales	0.2275449101796407	18.50935917198855	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales
o__Enterobacterales	0.05597788527988943	7.568464730290456	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales
o__SAR86	1	10.234597156398104	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__SAR86
o__GCA-002705445	1	27.84552845528455	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__GCA-002705445
o__UBA11654	1	19.073170731707318	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__UBA11654
o__CACJXQ01	1	40.63157894736842	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__CACJXQ01
o__Enterobacterales_A	0	0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales_A
o__Evansiales	0	0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Evansiales
o__PIVX01	1	18.5	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__PIVX01
o__PS1	0.5185185185185185	4.73037542662116	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__PS1
o__Francisellales	0.041666666666666664	3.5	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Francisellales
o__UBA7916	1	49.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__UBA7916
o__Legionellales	0.16666666666666666	19.82608695652174	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales
o__UBA1113	1	11.11111111111111	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__UBA1113
o__DSM-16500	0.8181818181818182	21.65	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__DSM-16500
o__UBA12402	1	28.09090909090909	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__UBA12402
o__Coxiellales	0.6923076923076923	48.3448275862069	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Coxiellales
o__UBA6002	1	13.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__UBA6002
o__UBA9339	1	11.5	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__UBA9339
o__Diplorickettsiales	0.3333333333333333	9.333333333333334	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Diplorickettsiales
o__CAISUE01	1	8.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__CAISUE01
o__JABDGN01	1	26.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__JABDGN01
o__UBA6186	1	70.36363636363636	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__UBA6186
o__Berkiellales	0.5	4.428571428571429	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Berkiellales
o__JABCZS01	1	0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__JABCZS01
o__Piscirickettsiales	0	0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Piscirickettsiales
o__Xanthomonadales	0.2388888888888889	6.7576564580559255	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales
o__Nitrococcales	0.5185185185185185	5.68	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Nitrococcales
o__Steroidobacterales	0.88	35.07446808510638	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Steroidobacterales
o__PWYM01	1	18.4	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__PWYM01
o__SZUA-146	1	13.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__SZUA-146
o__Woeseiales	0.9166666666666666	20.29281767955801	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Woeseiales
o__GCA-2729495	1	39.94444444444444	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__GCA-2729495
o__RKRP01	1	0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__RKRP01
o__UBA6522	1	32.23529411764706	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__UBA6522
o__SLND01	1	25.5	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__SLND01
o__Nevskiales	0.24324324324324326	6.593023255813954	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Nevskiales
o__UBA5335	0.8333333333333334	6.222222222222222	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__UBA5335
o__Methylococcales	0.5729166666666666	16.86348122866894	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales
o__Nitrosococcales	0.5714285714285714	11.411042944785276	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Nitrosococcales
o__GCF-002020875	1	46.16153846153846	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__GCF-002020875
o__Thiohalomonadales	0.7272727272727273	9.875	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiohalomonadales
o__Thiohalospirales	0.5	8.5	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiohalospirales
o__Thiohalomonadales_A	1	24.625	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiohalomonadales_A
o__SZUA-140	1	32.57142857142857	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__SZUA-140
o__Tenderiales	1	26.5	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Tenderiales
o__Ga0077554	1	34.333333333333336	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Ga0077554
o__GCA-2400775	1	7.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__GCA-2400775
o__SZUA-21	1	17.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__SZUA-21
o__UBA4486	1	29.683760683760685	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__UBA4486
o__Ga0077536	1	55.03125	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Ga0077536
o__UBA7966	1	9.5	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__UBA7966
o__JACCXJ01	1	15.083333333333334	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__JACCXJ01
o__HK1	0	49.357142857142854	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__HK1
o__Beggiatoales	0.45454545454545453	31.90909090909091	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Beggiatoales
o__Immundisolibacterales	0.6666666666666666	15.333333333333334	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Immundisolibacterales
o__Chromatiales	0.40384615384615385	8.17142857142857	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales
o__Thiohalobacterales	0.5714285714285714	28.25	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiohalobacterales
o__Competibacterales	0.7647058823529411	19.333333333333332	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Competibacterales
o__CAIRSR01	1	14.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__CAIRSR01
o__21-64-14	1	13.333333333333334	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__21-64-14
o__QNFN01	1	9.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__QNFN01
o__DSM-100275	0	0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__DSM-100275
o__Ectothiorhodospirales	0.2222222222222222	8.11111111111111	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Ectothiorhodospirales
o__Thiotrichales	0.3333333333333333	5.5	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales
o__UBA4575	1	36.8936170212766	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__UBA4575
o__SZUA-229	1	37.8	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__SZUA-229
o__GCA-001735895	0.6666666666666666	28.07894736842105	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__GCA-001735895
o__Granulosicoccales	0.8	24.476190476190474	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Granulosicoccales
o__XJ16	0.5	4.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__XJ16
o__HTCC5015	0	2.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__HTCC5015
o__Thiomicrospirales	0.20689655172413793	1.6	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiomicrospirales
o__Cardiobacteriales	0.0625	1.0454545454545454	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cardiobacteriales
o__Halothiobacillales	0.4444444444444444	8.428571428571429	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Halothiobacillales
o__QZLD01	1	5.5	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__QZLD01
o__Porisulfidales	1	31.6	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Porisulfidales
o__UBA2770	1	2.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__UBA2770
o__UBA6729	1	7.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__UBA6729
o__Arenicellales	0.96	29.901333333333334	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Arenicellales
o__Acidiferrobacterales	0.6923076923076923	15.090909090909092	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Acidiferrobacterales
o__Burkholderiales	0.254320987654321	14.804487179487179	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales
o__Acidithiobacillales	0.1	4.8	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Acidithiobacillales
o__Mariprofundales	0.6818181818181818	10.11111111111111	d__Bacteria; p__Proteobacteria; c__Zetaproteobacteria; o__Mariprofundales
o__Rhizobiales	0.14763231197771587	20.1698956780924	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales
o__Parvibaculales	0.6666666666666666	16.25581395348837	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Parvibaculales
o__Caulobacterales	0.4279835390946502	13.984088127294982	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales
o__Micropepsales	1	68.93181818181819	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micropepsales
o__SMXP01	1	9.6	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__SMXP01
o__UBA11222	1	39.5	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__UBA11222
o__Sphingomonadales	0.21951219512195122	7.553947368421053	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales
o__Sneathiellales	0.75	42.666666666666664	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sneathiellales
o__UBA2966	1	43.73684210526316	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__UBA2966
o__Ferrovibrionales	0.5	10.125	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Ferrovibrionales
o__Zavarziniales	0	0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Zavarziniales
o__UBA7887	1	21.821428571428573	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__UBA7887
o__UBA828	1	25.28125	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__UBA828
o__Geminicoccales	0.6	45.375	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Geminicoccales
o__Tistrellales	0	0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Tistrellales
o__SP197	1	16.142857142857142	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__SP197
o__Azospirillales	0.02857142857142857	5.333333333333333	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Azospirillales
o__DSM-16000	0	19.2	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__DSM-16000
o__Azospirillales_A	1	18.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Azospirillales_A
o__ATCC43930	0.42857142857142855	71.17647058823529	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__ATCC43930
o__Elsterales	0.3333333333333333	5.333333333333333	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Elsterales
o__Dongiales	0	7.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Dongiales
o__Thalassobaculales	0.5789473684210527	13.031007751937985	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Thalassobaculales
o__Kiloniellales	0.2777777777777778	15.625	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Kiloniellales
o__UBA8366	0.8666666666666667	58.43089430894309	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__UBA8366
o__UBA6615	1	38.816326530612244	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__UBA6615
o__Bin65	0.6666666666666666	18.714285714285715	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Bin65
o__Bin95	1	40.53846153846154	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Bin95
o__Rhodospirillales	0.47959183673469385	41.307870370370374	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales
o__MPNO01	1	47.97752808988764	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__MPNO01
o__SMXQ01	1	24.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__SMXQ01
o__Acetobacterales	0.13286713286713286	17.783333333333335	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Acetobacterales
o__CACIAM-22H2	1	17.333333333333332	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__CACIAM-22H2
o__Reyranellales	0.6428571428571429	31.346153846153847	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Reyranellales
o__UBA7985	1	94.0625	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__UBA7985
o__Micavibrionales	0.9583333333333334	130.75824175824175	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micavibrionales
o__Micavibrionales_A	1	87.85714285714286	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micavibrionales_A
o__UBA11073	1	6.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__UBA11073
o__Paracaedibacterales	0.3333333333333333	22.666666666666668	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Paracaedibacterales
o__UBA6184	1	68.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__UBA6184
o__UBA7879	1	41.07692307692308	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__UBA7879
o__Caedimonadales	0.5714285714285714	39.75	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caedimonadales
o__UBA9655	1	39.333333333333336	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__UBA9655
o__Puniceispirillales	0.9523809523809523	18.333333333333332	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Puniceispirillales
o__Pelagibacterales	0.8120300751879699	5.0409887359199	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Pelagibacterales
o__HIMB59	0.9375	12.35080058224163	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__HIMB59
o__TMED127	1	62.11764705882353	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__TMED127
o__GCA-002720895	1	30.361702127659573	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__GCA-002720895
o__GCA-2701885	1	51.38461538461539	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__GCA-2701885
o__TMED109	1	65.98076923076923	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__TMED109
o__Rhodobacterales	0.223841059602649	17.578115857226447	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales
