name	GC	GCA	aquatic_habitat	host_associated	size	soil_habitat	GCF
573658.SAMN02801774.GCA_000831405.1	46.8	GCA_000831405.1	0	1	133698	0	GB_GCA_000831405.1
573658.SAMN06932987.GCA_002846115.1	47.7	GCA_002846115.1	0	1	133249	0	GB_GCA_002846115.1
573658.SAMN02801810.GCA_000699475.1	46.4	GCA_000699475.1	0	1	150297	0	GB_GCA_000699475.1
1898108.SAMN03766451.GCA_001729625.1	20.9	GCA_001729625.1	0	1	593366	0	GB_GCA_001729625.1
77133.SAMD00141088.GCA_019669885.1	20.7	GCA_019669885.1	0	1	303838	0	None
1266371.SAMN02604242.GCA_000412755.1	42.1	GCA_000412755.1	0	1	171500	0	GB_GCA_000412755.1
189385.SAMEA3723482.GCA_900019315.1	61.8	GCA_900019315.1			138410		GB_GCA_900019315.1
189385.SAMEA3723486.GCA_900014395.1	58.3	GCA_900014395.1			140306		GB_GCA_900014395.1
189385.SAMEA3723485.GCA_900010165.1	57.8	GCA_900010165.1			143340		GB_GCA_900010165.1
189385.SAMEA3723484.GCA_900010175.1	58.9	GCA_900010175.1			144042		GB_GCA_900010175.1
189385.SAMEA3723483.GCA_900012655.1	58.2	GCA_900012655.1			141620		GB_GCA_900012655.1
1053648.SAMN02604250.GCA_000220965.1	58.8	GCA_000220965.1			138931		GB_GCA_000220965.1
891398.SAMN02604228.GCA_000219195.1	58.8	GCA_000219195.1	0	1	138927	0	GB_GCA_000219195.1
1202537.SAMN02641649.GCA_000287255.1	14.2	GCA_000287255.1	0	1	162504	0	RS_GCF_000287255.1
1202536.SAMN02641648.GCA_000287235.1	14.0	GCA_000287235.1	0	1	162589	0	RS_GCF_000287235.1
1202539.SAMN02641650.GCA_000287295.1	14.6	GCA_000287295.1	0	1	157543	0	RS_GCF_000287295.1
1202538.SAMN02604335.GCA_000287275.1	14.2	GCA_000287275.1	0	1	166163	0	RS_GCF_000287275.1
2661587.SAMD00192927.GCA_016593055.1	17.9	GCA_016593055.1	0	1	173853	0	RS_GCF_016593055.1
114186.SAMN12136778.GCA_013463375.1	17.8	GCA_013463375.1			174118		RS_GCF_013463375.1
114186.SAMN03999419.GCA_001274515.1	17.6	GCA_001274515.1	0	1	174018	0	RS_GCF_001274515.1
667013.SAMN02603759.GCA_000441575.1	17.6	GCA_000441575.1	0	1	174014	0	RS_GCF_000441575.1
114186.SAMN06239973.GCA_002009355.1	14.8	GCA_002009355.1	0	1	173802	0	RS_GCF_002009355.1
114186.SAMN07998878.GCA_002786955.1	14.6	GCA_002786955.1	0	1	174004	0	RS_GCF_002786955.1
1202540.SAMN02641651.GCA_000287315.1	15.6	GCA_000287315.1	0	1	159923	0	RS_GCF_000287315.1
387662.SAMD00061085.GCA_000010365.1	16.6	GCA_000010365.1	0	1	159662	0	RS_GCF_000010365.1
881286.SAMN17767152.GCA_017348975.1	26.3	GCA_017348975.1	0	1	125763	0	GB_GCA_017348975.1
881286.SAMN17767150.GCA_017348935.1	28.9	GCA_017348935.1	0	1	122629	0	GB_GCA_017348935.1
881286.SAMN17767148.GCA_017348955.1	29.9	GCA_017348955.1	0	1	122059	0	GB_GCA_017348955.1
881286.SAMN08744567.GCA_003391315.1	18.2	GCA_003391315.1	0	1	136080	0	GB_GCA_003391315.1
871271.SAMN02604227.GCA_000147015.1	13.5	GCA_000147015.1	0	1	208564	0	GB_GCA_000147015.1
1160784.SAMN06919537.GCA_002290365.1	15.2	GCA_002290365.1	0	1	144602	0	GB_GCA_002290365.1
1160784.SAMN08015144.GCA_017086605.1	15.5	GCA_017086605.1	0	1	113652	0	GB_GCA_017086605.1
1160784.SAMN04223555.GCA_001447885.1	16.6	GCA_001447885.1	0	1	112031	0	GB_GCA_001447885.1
1343077.SAMN02641653.GCA_000442605.1	17.1	GCA_000442605.1	0	1	112091	0	GB_GCA_000442605.1
1160784.SAMN15504451.GCA_014211875.1	16.9	GCA_014211875.1	0	1	113715	0	GB_GCA_014211875.1
1802984.SAMN07303433.GCA_003072485.1	35.8	GCA_003072485.1	1	1	837348	0	RS_GCF_003072485.1
2026788.SAMD00233765.GCA_014132315.1	41.1	GCA_014132315.1	0	1	1084225	0	GB_GCA_014132315.1
2741069.SAMN15060993.GCA_018101195.1	33.3	GCA_018101195.1	0	1	1118207	0	GB_GCA_018101195.1
1286528.SAMN02367297.GCA_000632985.1	41.7	GCA_000632985.1	0	1	884232	0	RS_GCF_000632985.1
1714371.SAMN04272095.GCA_001593535.1	41.1	GCA_001593535.1	0	1	859205	0	RS_GCF_001593535.1
2686014.SAMN13546316.GCA_009856525.1	40.7	GCA_009856525.1	0	1	864092	0	RS_GCF_009856525.1
434131.SAMN02603947.GCA_000022525.1	41.3	GCA_000022525.1	0	1	879977	0	RS_GCF_000022525.1
222891.SAMN02604016.GCA_000013165.1	41.1	GCA_000013165.1	0	0	859006	0	RS_GCF_000013165.1
2704616.SAMN13818363.GCA_020002265.1	29.9	GCA_020002265.1			1013119		None
779.SAMN10340337.GCA_009728815.1	29.0	GCA_009728815.1	0	1	1449311	0	RS_GCF_009728815.1
254945.SAMEA1705918.GCA_000026005.1	27.5	GCA_000026005.1	0	1	1516355	0	RS_GCF_000026005.1
269484.SAMN02598261.GCA_000012565.1	29.0	GCA_000012565.1	0	1	1315030	0	RS_GCF_000012565.1
1242993.SAMN09519635.GCA_004181775.1	29.5	GCA_004181775.1	0	1	1335478	0	RS_GCF_004181775.1
205920.SAMN02604010.GCA_000013145.1	30.1	GCA_000013145.1	0	1	1176248	0	RS_GCF_000013145.1
391036.SAMN02367296.GCA_000632845.1	29.6	GCA_000632845.1	0	1	1148904	0	RS_GCF_000632845.1
1423892.SAMN02641637.GCA_000508225.1	29.7	GCA_000508225.1	0	1	1196717	0	RS_GCF_000508225.1
89586.SAMN15143484.GCA_019186745.1	26.8	GCA_019186745.1	0	1	1112315	0	RS_GCF_019186745.1
1359163.SAMN02402774.GCA_000964795.1	27.8	GCA_000964795.1	0	1	1268660	0	RS_GCF_000964795.1
574556.SAMN02604279.GCA_000024505.1	50.0	GCA_000024505.1	0	1	1206806	0	RS_GCF_000024505.1
320483.SAMN02604306.GCA_000020305.1	49.8	GCA_000020305.1	0	1	1202435	0	RS_GCF_000020305.1
1248439.SAMN02739299.GCA_002214625.1	48.9	GCA_002214625.1			1214674		None
949.SAMN13350693.GCA_012790675.1	45.5	GCA_012790675.1	0	1	1196811	0	RS_GCF_012790675.1
212042.SAMN02604015.GCA_000013125.1	41.6	GCA_000013125.1	0	1	1471282	0	RS_GCF_000013125.1
1892558.SAMD00250045.GCA_016860565.1	32.1	GCA_016860565.1	0	1	1309651	0	GB_GCA_016860565.1
2841588.SAMN19370650.GCA_019061405.1	31.2	GCA_019061405.1	0	1	1082514	0	GB_GCA_019061405.1
955.SAMN05806092.GCA_001752665.1	32.2	GCA_001752665.1			975127		RS_GCF_001752665.1
1301914.SAMN16074024.GCA_014534705.1	34.1	GCA_014534705.1			1457187		RS_GCF_014534705.1
169402.SAMN04229547.GCA_001931755.1	34.4	GCA_001931755.1			1801626		None
2732593.SAMN14530457.GCA_012277295.1	35.2	GCA_012277295.1	0	1	1495538	0	RS_GCF_012277295.1
955.SAMN13944156.GCA_014107455.1	35.3	GCA_014107455.1	0	1	1139744	0	RS_GCF_014107455.1
1633785.SAMN03445735.GCA_001758585.1	35.3	GCA_001758585.1	0	1	1267664	0	GB_GCA_001758585.1
1261555.SAMEA2271959.GCA_000333795.1	35.2	GCA_000333795.1	0	1	1415350	0	None
1220511.SAMN03322720.GCA_001027565.1	34.5	GCA_001027565.1	0	1	1663741	0	RS_GCF_001027565.1
1532454.SAMN18857607.GCA_018224395.1	33.7	GCA_018224395.1	0	1	1712771	0	GB_GCA_018224395.1
570417.SAMEA1705930.GCA_000073005.1	34.2	GCA_000073005.1	0	1	1482455	0	RS_GCF_000073005.1
125593.SAMN04092459.GCA_001439985.1	33.7	GCA_001439985.1	0	1	1133809	0	RS_GCF_001439985.1
2732594.SAMN14530437.GCA_012277315.1	35.6	GCA_012277315.1	0	1	1201647	0	RS_GCF_012277315.1
246273.SAMD00061059.GCA_000829315.1	36.3	GCA_000829315.1	0	1	1250060	0	RS_GCF_000829315.1
244204.SAMEA6139659.GCA_902636395.1	36.0	GCA_902636395.1			1232261		GB_GCA_902636395.1
1812115.SAMN13482488.GCA_013365455.1	32.7	GCA_013365455.1	0	1	920122	0	RS_GCF_013365455.1
244204.SAMEA6140630.GCA_902646575.1	32.1	GCA_902646575.1			1046262		GB_GCA_902646575.1
1410384.SAMEA3138891.GCA_000530755.1	32.1	GCA_000530755.1			960618		RS_GCF_000530755.1
1812112.SAMN13482057.GCA_013365495.1	28.2	GCA_013365495.1	0	1	863427	0	RS_GCF_013365495.1
1812111.SAMN13482046.GCA_013365475.1	32.3	GCA_013365475.1	0	1	863988	0	RS_GCF_013365475.1
292805.SAMN02603678.GCA_000008385.1	34.2	GCA_000008385.1	0	1	1080084	0	RS_GCF_000008385.1
1812117.SAMN13482459.GCA_013366805.1	34.5	GCA_013366805.1	0	1	1046149	0	RS_GCF_013366805.1
80850.SAMN13482485.GCA_013365435.1	32.1	GCA_013365435.1	0	1	1045802	0	RS_GCF_013365435.1
1845000.SAMN16175503.GCA_014771645.1	35.4	GCA_014771645.1	0	1	1291339	0	RS_GCF_014771645.1
2026788.SAMN14915681.GCA_018659145.1	35.7	GCA_018659145.1	1	0	1620245	0	GB_GCA_018659145.1
219660.SAMEA8498404.GCA_905478165.1	31.2	GCA_905478165.1	1	0	1198634	0	GB_GCA_905478165.1
219660.SAMEA8498409.GCA_905478245.1	30.2	GCA_905478245.1	1	0	1407879	0	GB_GCA_905478245.1
2026788.SAMN20201175.GCA_020054685.1	29.2	GCA_020054685.1			1310700		None
1797226.SAMN04315040.GCA_001767955.1	40.1	GCA_001767955.1			1442015		GB_GCA_001767955.1
91750.SAMEA6951904.GCA_903927415.1	41.3	GCA_903927415.1	1	0	1545111	0	GB_GCA_903927415.1
91750.SAMEA6949290.GCA_903849835.1	41.7	GCA_903849835.1	1	0	1451501	0	GB_GCA_903849835.1
2026776.SAMN10966982.GCA_016882165.1	31.4	GCA_016882165.1	1	0	1433922	0	GB_GCA_016882165.1
1951237.SAMN06453340.GCA_002342325.1	36.2	GCA_002342325.1	1	0	1669770	0	GB_GCA_002342325.1
91750.SAMEA6956810.GCA_903872175.1	36.7	GCA_903872175.1	1	0	1923206	0	GB_GCA_903872175.1
2026788.SAMN18118951.GCA_017999675.1	41.6	GCA_017999675.1	1	0	1505413	0	GB_GCA_017999675.1
91750.SAMEA6949996.GCA_903898475.1	40.9	GCA_903898475.1	1	0	1646441	0	GB_GCA_903898475.1
91750.SAMEA6952399.GCA_903879805.1	41.1	GCA_903879805.1	1	0	1883912	0	GB_GCA_903879805.1
1977087.SAMN16745364.GCA_018970485.1	40.8	GCA_018970485.1	1	0	1582431	0	GB_GCA_018970485.1
91750.SAMEA6954343.GCA_903870105.1	40.1	GCA_903870105.1	1	0	1434729	0	GB_GCA_903870105.1
91750.SAMEA6951917.GCA_903917585.1	40.2	GCA_903917585.1	1	0	1450978	0	GB_GCA_903917585.1
1913988.SAMD00166063.GCA_014190355.1	29.9	GCA_014190355.1	1	0	1626421	0	GB_GCA_014190355.1
91750.SAMEA6951621.GCA_903837365.1	31.3	GCA_903837365.1	1	0	1461268	0	GB_GCA_903837365.1
1977087.SAMN10222964.GCA_009927945.1	33.8	GCA_009927945.1	1	0	1443063	0	GB_GCA_009927945.1
91750.SAMEA6946862.GCA_903959715.1	32.9	GCA_903959715.1	1	0	1538187	0	GB_GCA_903959715.1
1528098.SAMN02943453.GCA_000746585.1	30.8	GCA_000746585.1	0	1	1917564	0	None
2486578.SAMN10347691.GCA_003932735.1	33.0	GCA_003932735.1	0	1	1738386	0	RS_GCF_003932735.1
2026788.SAMN18076898.GCA_020049805.1	32.5	GCA_020049805.1			1262277		None
1948417.SAMN06454857.GCA_002422795.1	40.3	GCA_002422795.1	1	0	2365046	0	GB_GCA_002422795.1
1973900.SAMN06659484.GCA_002787635.1	39.2	GCA_002787635.1	1	0	2303631	0	GB_GCA_002787635.1
1913988.SAMN16426516.GCA_016722515.1	43.7	GCA_016722515.1	0	0	3294490	1	GB_GCA_016722515.1
91750.SAMEA6952002.GCA_903821695.1	48.0	GCA_903821695.1	1	0	2108562	0	GB_GCA_903821695.1
1977087.SAMN10223793.GCA_010031735.1	53.1	GCA_010031735.1	1	0	2381697	0	GB_GCA_010031735.1
1869227.SAMN12792741.GCA_016124905.1	58.0	GCA_016124905.1	1	0	2357243	0	GB_GCA_016124905.1
1913988.SAMN10167060.GCA_004293935.1	46.0	GCA_004293935.1			1729837		GB_GCA_004293935.1
2026788.SAMN20165087.GCA_019749855.1	52.0	GCA_019749855.1			2169311		None
1948452.SAMN06452144.GCA_002291925.1	61.1	GCA_002291925.1			2177873		GB_GCA_002291925.1
1948350.SAMN06455466.GCA_002291845.1	55.5	GCA_002291845.1			1887187		GB_GCA_002291845.1
1948415.SAMN06453022.GCA_002423155.1	42.0	GCA_002423155.1	1	0	2098247	0	GB_GCA_002423155.1
192.SAMN07426560.GCA_003241645.1	61.1	GCA_003241645.1			2156760		GB_GCA_003241645.1
1913988.SAMN18059886.GCA_017302575.1	50.8	GCA_017302575.1	0	0	1861815	1	GB_GCA_017302575.1
1948416.SAMN06456553.GCA_002422205.1	52.7	GCA_002422205.1	1	0	2178574	0	GB_GCA_002422205.1
2026788.SAMN20201174.GCA_020054645.1	52.3	GCA_020054645.1	1	0	2284590	0	None
2026788.SAMN11368872.GCA_005792635.1	46.3	GCA_005792635.1	1	0	1951855	0	GB_GCA_005792635.1
1913988.SAMN18076907.GCA_020054105.1	57.2	GCA_020054105.1			2218568		None
1913988.SAMN10222774.GCA_009926845.1	51.6	GCA_009926845.1	1	0	1892207	0	GB_GCA_009926845.1
1913988.SAMN18076899.GCA_020049775.1	51.2	GCA_020049775.1			2536248		None
1913988.SAMN14675691.GCA_013216065.1	50.8	GCA_013216065.1	1	0	1788952	0	GB_GCA_013216065.1
1913988.SAMN13287349.GCA_009993885.1	42.7	GCA_009993885.1			1528801		GB_GCA_009993885.1
1948365.SAMN06450554.GCA_002337525.1	41.0	GCA_002337525.1	1	0	1740990	0	GB_GCA_002337525.1
1913988.SAMN15215242.GCA_013911655.1	47.9	GCA_013911655.1	1	0	1733864	0	GB_GCA_013911655.1
2026719.SAMN08286420.GCA_013822015.1	52.7	GCA_013822015.1	1	0	1978797	0	GB_GCA_013822015.1
1414854.SAMN02840763.GCA_002117145.1	39.7	GCA_002117145.1			1838212		RS_GCF_002117145.1
244581.SAMN02905703.GCA_000743035.1	37.9	GCA_000743035.1	0	1	2175773	0	GB_GCA_000743035.1
91750.SAMEA8498600.GCA_905479605.1	44.7	GCA_905479605.1	1	0	1572540	0	GB_GCA_905479605.1
1797212.SAMN04313891.GCA_001767835.1	42.4	GCA_001767835.1	0	0	1544415	1	GB_GCA_001767835.1
1913988.SAMN20165083.GCA_019749915.1	40.9	GCA_019749915.1			2078415		None
1913988.SAMN20165106.GCA_019748065.1	41.3	GCA_019748065.1			1931633		None
1913988.SAMN19005954.GCA_018401675.1	43.1	GCA_018401675.1	1	0	1294506	0	GB_GCA_018401675.1
1977087.SAMN17574067.GCA_018242545.1	36.1	GCA_018242545.1	0	0	1911374	1	GB_GCA_018242545.1
1970490.SAMN06622281.GCA_002257235.1	39.3	GCA_002257235.1	1	0	1885776	0	GB_GCA_002257235.1
2741701.SAMN14944068.GCA_014896945.1	40.6	GCA_014896945.1	0	1	1391311	0	GB_GCA_014896945.1
1895707.SAMN05660541.GCA_001897475.1	43.4	GCA_001897475.1			1559746		GB_GCA_001897475.1
91750.SAMEA8805785.GCA_910588255.1	31.3	GCA_910588255.1			977579		GB_GCA_910588255.1
1973897.SAMN06659789.GCA_002791835.1	36.6	GCA_002791835.1	1	0	1266172	0	GB_GCA_002791835.1
91750.SAMEA6950954.GCA_903874955.1	38.1	GCA_903874955.1	1	0	1742154	0	GB_GCA_903874955.1
1977087.SAMN18120336.GCA_018062345.1	38.5	GCA_018062345.1	1	0	1462632	0	GB_GCA_018062345.1
91750.SAMEA6945927.GCA_903905995.1	38.9	GCA_903905995.1	1	0	1527157	0	GB_GCA_903905995.1
1913988.SAMN20165082.GCA_019749935.1	38.9	GCA_019749935.1			1894703		None
91750.SAMEA6955477.GCA_903899945.1	38.5	GCA_903899945.1	1	0	1691295	0	GB_GCA_903899945.1
91750.SAMEA6956400.GCA_903878455.1	43.0	GCA_903878455.1	1	0	1659814	0	GB_GCA_903878455.1
1696036.SAMN10348102.GCA_004210305.1	43.8	GCA_004210305.1	0	1	1792168	0	RS_GCF_004210305.1
91750.SAMEA6956441.GCA_903861255.1	40.8	GCA_903861255.1	1	0	1964055	0	GB_GCA_903861255.1
2024849.SAMN08286346.GCA_013823725.1	33.8	GCA_013823725.1	1	0	1256217	0	GB_GCA_013823725.1
985867.SAMN02471331.GCA_000190415.1	42.0	GCA_000190415.1	0	1	2847648	0	None
91604.SAMN02911856.GCA_000742835.1	41.0	GCA_000742835.1	0	1	2485110	0	RS_GCF_000742835.1
1898112.SAMN07568849.GCA_002746255.1	56.5	GCA_002746255.1	1	0	2098622	0	GB_GCA_002746255.1
1913988.SAMN16436238.GCA_016776635.1	60.0	GCA_016776635.1	1	0	2547585	0	GB_GCA_016776635.1
1898112.SAMN14915191.GCA_018667475.1	54.9	GCA_018667475.1	1	0	2201043	0	GB_GCA_018667475.1
1913988.SAMN12830833.GCA_009380075.1	65.6	GCA_009380075.1			3542334		GB_GCA_009380075.1
2026786.SAMN14915266.GCA_018666775.1	52.9	GCA_018666775.1	1	0	2409359	0	GB_GCA_018666775.1
1913988.SAMN11097083.GCA_004356985.1	64.7	GCA_004356985.1	0	0	2686572	1	GB_GCA_004356985.1
1913988.SAMN10966381.GCA_016869145.1	69.6	GCA_016869145.1	1	0	3927634	0	GB_GCA_016869145.1
1913988.SAMN12830875.GCA_009377375.1	68.3	GCA_009377375.1			4364454		GB_GCA_009377375.1
1898112.SAMN07619988.GCA_002709075.1	40.4	GCA_002709075.1	1	0	2522793	0	GB_GCA_002709075.1
1913988.SAMN12903697.GCA_012103315.1	52.0	GCA_012103315.1	1	1	4111711	0	GB_GCA_012103315.1
1898112.SAMN07619996.GCA_002720855.1	51.0	GCA_002720855.1	1	0	3575202	0	GB_GCA_002720855.1
91750.SAMEA8498495.GCA_905479125.1	58.7	GCA_905479125.1	1	0	3551842	0	GB_GCA_905479125.1
1948451.SAMN06455827.GCA_002295635.1	50.4	GCA_002295635.1	1	0	3006840	0	GB_GCA_002295635.1
1898112.SAMN10841285.GCA_004213075.1	57.8	GCA_004213075.1	1	0	3104424	0	GB_GCA_004213075.1
1948440.SAMN06450336.GCA_002471575.1	57.9	GCA_002471575.1	1	0	3058580	0	GB_GCA_002471575.1
1898112.SAMN14915543.GCA_018661685.1	58.9	GCA_018661685.1	1	0	4791169	0	GB_GCA_018661685.1
2024842.SAMN16237321.GCA_017640745.1	63.8	GCA_017640745.1	1	0	4501325	0	GB_GCA_017640745.1
2775867.SAMN16277683.GCA_014904705.1	63.6	GCA_014904705.1			5022643		RS_GCF_014904705.1
1122607.SAMN02441524.GCA_000426505.1	60.5	GCA_000426505.1			4626718		RS_GCF_000426505.1
568392.SAMN16287647.GCA_014904795.1	60.6	GCA_014904795.1			4842169		RS_GCF_014904795.1
1919269.SAMN05959514.GCA_002238645.1	66.5	GCA_002238645.1	0	1	4202507	0	GB_GCA_002238645.1
1898112.SAMN07619963.GCA_002701455.1	42.5	GCA_002701455.1	1	0	2860664	0	GB_GCA_002701455.1
1898112.SAMN14915117.GCA_018667895.1	41.0	GCA_018667895.1	1	0	3578206	0	GB_GCA_018667895.1
91750.SAMEA9695136.GCA_913020505.1	41.7	GCA_913020505.1			3363281		None
2024842.SAMN07619511.GCA_002690685.1	55.1	GCA_002690685.1	1	0	2975145	0	GB_GCA_002690685.1
1913988.SAMN14944519.GCA_013203465.1	64.4	GCA_013203465.1	1	0	4476598	0	GB_GCA_013203465.1
1123364.SAMN02441503.GCA_000423805.1	67.4	GCA_000423805.1	1	0	5084548	0	RS_GCF_000423805.1
1401328.SAMN02641640.GCA_000510265.1	34.5	GCA_000510265.1	0	1	1518636	0	RS_GCF_000510265.1
1193729.SAMN02604248.GCA_000319385.1	34.1	GCA_000319385.1	0	1	1481191	0	RS_GCF_000319385.1
1633335.SAMD00245651.GCA_014652915.1	70.8	GCA_014652915.1			5960362		RS_GCF_014652915.1
331869.SAMN02436095.GCA_000171835.1	65.0	GCA_000171835.1			6102701		GB_GCA_000171835.1
2162578.SAMN08886286.GCA_003278095.1	30.9	GCA_003278095.1	1	0	2226049	0	GB_GCA_003278095.1
281031.SAMEA6069825.GCA_902619615.1	30.6	GCA_902619615.1	1	0	2156702	0	GB_GCA_902619615.1
1913988.SAMN13495012.GCA_011522975.1	49.7	GCA_011522975.1	1	1	2049636	0	GB_GCA_011522975.1
1913988.SAMN16436121.GCA_016778985.1	46.8	GCA_016778985.1	1	0	2096254	0	GB_GCA_016778985.1
1913988.SAMN14915250.GCA_018701255.1	48.2	GCA_018701255.1	1	0	2034337	0	GB_GCA_018701255.1
91750.SAMEA9695145.GCA_913064825.1	54.5	GCA_913064825.1	1	0	2395105	0	None
352351.SAMEA9695039.GCA_913064885.1	57.3	GCA_913064885.1	1	0	2468037	0	None
1898112.SAMN13494979.GCA_011522725.1	63.0	GCA_011522725.1	1	1	2257155	0	GB_GCA_011522725.1
2026785.SAMN14400424.GCA_018624035.1	60.8	GCA_018624035.1	1	0	2751523	0	GB_GCA_018624035.1
1913988.SAMN10223066.GCA_009920665.1	61.3	GCA_009920665.1	1	0	2693903	0	GB_GCA_009920665.1
488538.SAMN02603472.GCA_000024465.1	48.9	GCA_000024465.1	1	0	2753527	0	RS_GCF_000024465.1
2026719.SAMN14915371.GCA_018668795.1	48.5	GCA_018668795.1	1	0	2279634	0	GB_GCA_018668795.1
2026719.SAMN16436126.GCA_016778895.1	50.8	GCA_016778895.1	1	0	2173558	0	GB_GCA_016778895.1
1985115.SAMEA8498520.GCA_905479355.1	51.1	GCA_905479355.1	1	0	1862780	0	GB_GCA_905479355.1
1985115.SAMEA7768576.GCA_905182545.1	49.8	GCA_905182545.1	1	0	2006995	0	GB_GCA_905182545.1
2026719.SAMN17496288.GCA_017859295.1	50.8	GCA_017859295.1	1	0	1843061	0	GB_GCA_017859295.1
